"Time","SD","SD_t","RMSE","RMSE_t","Mean","TMLE","pBias","pBias_t","true"
1,0,0,NA,NA,0,0,"NaN%","NaN%",0
2,0.0331044765571798,0.0330991625871311,0.390712939425219,0.390733559005435,-0.07433922362611,-0.0743377969677482,"-25.57%","-25.58%",-0.0933507286873128
3,0.0473783178252171,0.0473694946873898,0.356816698768168,0.356837377220226,-0.125321522833334,-0.125319360593101,"-23.55%","-23.55%",-0.15483427384867
4,0.0511615604884307,0.0511508871656085,0.329351090898963,0.329371712320501,-0.15908050691674,-0.159078084746736,"-21.67%","-21.67%",-0.193551534337042
5,0.0497722260274353,0.0497615031183308,0.307201007629775,0.307221658059665,-0.180139285132952,-0.180136925920776,"-19.96%","-19.96%",-0.216089106277469
6,0.0466832390552819,0.0466745694295816,0.289614193952843,0.289635108545578,-0.191854069921529,-0.191851987934366,"-18.43%","-18.43%",-0.227216549560839
7,0.0441134069063736,0.0441090042850542,0.276066066384974,0.276087566721377,-0.196727840744855,-0.196726172969374,"-17.11%","-17.11%",-0.230387269418803
8,0.0432076227930663,0.0432091293113025,0.266168977002896,0.266191397589588,-0.196634633396459,-0.196633461933263,"-16%","-16%",-0.228099372222035
9,0.0441195720218283,0.0441274312977091,0.259618161622253,0.259641765813946,-0.192981574321748,-0.192980942471376,"-15.12%","-15.12%",-0.222156373811602
10,0.0463411568751417,0.0463547715794686,0.256166131608086,0.256191019447287,-0.18682702745988,-0.186826951322502,"-14.47%","-14.47%",-0.213856062548982
11,0.0491844900236924,0.0492028598982828,0.255617422019646,0.255643434000465,-0.178967455034745,-0.178967931895849,"-14.06%","-14.06%",-0.204127664860315
12,0.0520884614088116,0.0521106352650409,0.25783603539118,0.257862656225413,-0.170001746723525,-0.170002761122546,"-13.9%","-13.9%",-0.193631700143251
13,0.054692136886141,0.0547173578748249,0.262758896473778,0.26278516220392,-0.160379171797476,-0.160380699917277,"-14%","-14%",-0.182832829851638
14,0.0567994045692073,0.0568271042388854,0.270410227784302,0.270434639209688,-0.150435329207838,-0.150437342042196,"-14.37%","-14.37%",-0.172053104406356
15,0.0583252617290258,0.0583550157236703,0.280913616561331,0.280934062502313,-0.140419237166075,-0.140421702795027,"-15.02%","-15.02%",-0.161510943412145
16,0.0592532107537988,0.0592846970261313,0.294500204169937,0.294513899062772,-0.130513838746355,-0.130516723958756,"-15.96%","-15.96%",-0.151349705801733
17,0.0596066733722145,0.0596396412812919,0.311512651418581,0.311516091760914,-0.120851586685826,-0.120854858123653,"-17.22%","-17.21%",-0.1416586458142
18,0.0594309388254175,0.0594651879554762,0.332405371679686,0.332394313568595,-0.111526331275387,-0.111529956227561,"-18.8%","-18.79%",-0.132488287582282
19,0.0587820451523397,0.0588174111114266,0.357742152127739,0.357711607066031,-0.102602417773529,-0.102606364713087,"-20.72%","-20.72%",-0.123861700392671
20,0.0577200299314745,0.0577563748291894,0.38819279847202,0.38813703771455,-0.0941216685104787,-0.0941259074441856,"-23.01%","-23.01%",-0.115782758065799
21,0.0563048998793242,0.056342105878883,0.424530787991663,0.424443339137443,-0.0861087551805016,-0.0861132578618602,"-25.7%","-25.7%",-0.108242176514284
22,0.0545942885993778,0.0546322534898538,0.467633974047675,0.467507589683917,-0.0785753415613178,-0.0785800816046086,"-28.82%","-28.81%",-0.101221912838107
23,0.0526421625575519,0.052680796666338,0.518490093819876,0.518316671903524,-0.0715232839132161,-0.0715282368363722,"-32.4%","-32.39%",-0.0946983554687048
24,0.0504981766806757,0.0505374006878242,0.578208282923185,0.577978721441406,-0.0649471069378878,-0.0649522501547548,"-36.49%","-36.48%",-0.0886446222330917
25,0.0482074298630917,0.0482471732328479,0.648037206995717,0.647741179046062,-0.0588359211870175,-0.0588412339641709,"-41.13%","-41.11%",-0.0830322005191369
26,0.045810463116118,0.0458506629587507,0.729389995965817,0.729015633300404,-0.0531749086839006,-0.0531803720732128,"-46.37%","-46.35%",-0.077832102867929
27,0.0433434009910153,0.043384001230823,0.823876029516694,0.823409501175252,-0.0479464739580736,-0.0479520707132691,"-52.29%","-52.27%",-0.0730156664270938
28,0.0408381734710037,0.0408791242372281,0.933339770949076,0.932764738279637,-0.0431311352698888,-0.0431368497531324,"-58.95%","-58.92%",-0.0685550915099558
29,0.038322778796383,0.0383640359808185,1.05990720518579,1.0592041253461,-0.0387082137306255,-0.0387140318135658,"-66.43%","-66.41%",-0.0644237899193382
30,0.0358215625888,0.0358630875322012,1.20604091668008,1.20518615362998,-0.0346563649783868,-0.0346622739408693,"-74.85%","-74.82%",-0.0605965954490059
31,0.0333554982321124,0.0333972575142491,1.37460538487695,1.3735700693995,-0.0309539880642014,-0.0309599764929761,"-84.31%","-84.27%",-0.0570498754142525
1,0,0,NA,NA,0,0,"NaN%","NaN%",0
2,0.0223857891403568,0.0223828134675313,0.458485266451411,0.458504768658661,-0.0663504156804284,-0.0663500464660968,"-40.69%","-40.69%",-0.0933507286873128
3,0.0322518231915693,0.032246618397723,0.390112733481106,0.390129478116618,-0.114992672134689,-0.114992180324693,"-34.65%","-34.65%",-0.15483427384867
4,0.0340225775190004,0.0340159116477057,0.334877921279063,0.334892369694484,-0.149341964054375,-0.149341531620793,"-29.6%","-29.6%",-0.193551534337042
5,0.0311515759522542,0.0311444671990309,0.290970065240645,0.290982780714984,-0.172239297138816,-0.172239054564498,"-25.46%","-25.46%",-0.216089106277469
6,0.0265775270341679,0.0265716839955082,0.256998849511275,0.257010514589874,-0.186041672117609,-0.18604170920722,"-22.13%","-22.13%",-0.227216549560839
7,0.023151321386276,0.0231495115823521,0.2318776688013,0.231889055842542,-0.192698675881205,-0.192699050611113,"-19.56%","-19.56%",-0.230387269418803
8,0.0232135604873953,0.0232179802588494,0.214722170334948,0.214734041410155,-0.193817450550374,-0.193818196282662,"-17.69%","-17.69%",-0.228099372222035
9,0.026835684267662,0.0268454872991238,0.204782673776124,0.204795607991043,-0.190717734321643,-0.190718865656696,"-16.48%","-16.48%",-0.222156373811602
10,0.0322430758881069,0.0322563136337856,0.20143225999974,0.201446444354497,-0.184478430641063,-0.184479948139988,"-15.92%","-15.92%",-0.213856062548982
11,0.0379179523567074,0.037933352235237,0.204212783321686,0.204227827460559,-0.175976958524074,-0.175978852495505,"-16%","-16%",-0.204127664860315
12,0.0430607911330519,0.0430776770106224,0.21290978810926,0.212924610118181,-0.165922461421799,-0.165924714936581,"-16.7%","-16.7%",-0.193631700143251
13,0.0473112418258507,0.0473292391206837,0.227614342372987,0.227627136927321,-0.154883800542063,-0.154886391812908,"-18.05%","-18.04%",-0.182832829851638
14,0.0505358749472967,0.0505547539084317,0.248746841302938,0.248755112209335,-0.143313127327219,-0.143316031568074,"-20.05%","-20.05%",-0.172053104406356
15,0.0527212058816233,0.0527408102118009,0.27704596396049,0.277046587988187,-0.131565715888353,-0.131568906749349,"-22.76%","-22.76%",-0.161510943412145
16,0.0539194121278815,0.0539396257503043,0.313543415063942,0.313532696460388,-0.119916637174106,-0.119920087831917,"-26.21%","-26.21%",-0.151349705801733
17,0.05421854792093,0.0542392785906897,0.359546784957262,0.359520459438359,-0.108574770549421,-0.108578454519374,"-30.47%","-30.47%",-0.1416586458142
18,0.0537249653088605,0.0537461360495918,0.416645224694449,0.416598379934118,-0.0976945736778081,-0.097698465402697,"-35.61%","-35.61%",-0.132488287582282
19,0.0525524060464768,0.0525739504559171,0.486743519288601,0.486670411229513,-0.0873859668209833,-0.087390042081948,"-41.74%","-41.73%",-0.123861700392671
20,0.0508150476228501,0.0508369072088731,0.572124334887609,0.572018086430283,-0.0777226317767658,-0.0777268679635461,"-48.97%","-48.96%",-0.115782758065799
21,0.0486230417975288,0.0486451644378674,0.675537008849285,0.675389173855533,-0.0687489776982082,-0.0687533539693453,"-57.45%","-57.44%",-0.108242176514284
22,0.0460796935721322,0.0461020326254591,0.800312988152774,0.800112948785667,-0.0604859851019119,-0.060490482459843,"-67.35%","-67.34%",-0.101221912838107
23,0.0432797517491357,0.0433022655599774,0.95051117506603,0.950245315671382,-0.0529361046787095,-0.052940705980022,"-78.89%","-78.88%",-0.0946983554687048
24,0.0403084674259586,0.0403311190784198,1.13109995380375,1.13075051924078,-0.0460873583157207,-0.0460920482329539,"-92.34%","-92.32%",-0.0886446222330917
25,0.0372411896265582,0.0372639468643256,1.34818631207471,1.3477298083161,-0.039916765321521,-0.039921530269707,"-108.01%","-107.99%",-0.0830322005191369
26,0.0341433392357447,0.0341661745028928,1.60930651293741,1.608711434084,-0.0343931965581102,-0.0343980245966136,"-126.3%","-126.27%",-0.077832102867929
27,0.0310706497849289,0.0310935403658403,1.92379771860612,1.92302127257801,-0.0294797424163274,-0.0294846231343952,"-147.68%","-147.64%",-0.0730156664270938
